,title,type
0,Fullmetal Alchemist: Brotherhood,TV
1,your name.,Movie
2,Attack on Titan 3rd Season: Part II,TV
3,A Silent Voice,Movie
4,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,TV
5,Demon Slayer: Kimetsu no Yaiba,TV
6,Haikyuu!! Second Season,TV
7,My Hero Academia 3,TV
8,Hunter x Hunter (2011),TV
9,Mob Psycho 100 II,TV
10,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,Movie
11,Gintama (2015),TV
12,My Hero Academia 2,TV
13,Steins;Gate,TV
14,Code Geass: Lelouch of the Rebellion R2,TV
15,The Promised Neverland,TV
16,Gintama.: Shirogane no Tamashii-hen 2,TV
17,March Comes in like a Lion 2nd Season,TV
18,Gintama.,TV
19,Mushishi Zoku Shou 2nd Season,TV
20,One-Punch Man,TV
21,Gintama.: Shirogane no Tamashii-hen,TV
22,Gintama': Enchousen,TV
23,Gintama',TV
24,Natsume's Book of Friends Season 6,TV
25,Clannad After Story,TV
26,Mushishi Zoku Shou,TV
27,Wolf Children,Movie
28,Spirited Away,Movie
29,Made in Abyss,TV
30,Douluo Dalu 2,Web
31,Weathering With You,Movie
32,Mo Dao Zu Shi 2,Web
33,Vinland Saga,TV
34,Hajime no Ippo: New Challenger,TV
35,I Want to Eat Your Pancreas,Movie
36,Doupo Cangqiong 3rd Season,Web
37,Natsume's Book of Friends Season 4,TV
38,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie
39,Kizumonogatari Movie 3: Reiketsu,Movie
40,Hajime no Ippo: The Fighting!,TV
41,Code Geass: Lelouch of the Rebellion,TV
42,Haikyuu!!,TV
43,Natsume's Book of Friends Season 5,TV
44,Descending Stories: Shouwa Genroku Rakugo Shinjuu,TV
45,Owarimonogatari (2017),Special
46,Howl's Moving Castle,Movie
47,Princess Mononoke,Movie
48,Monogatari Series: Second Season,TV
49,JoJo's Bizarre Adventure: Golden Wind,TV
50,Gintama: Porori-hen,TV
51,Mo Dao Zu Shi,Web
52,Youjo Senki: Saga of Tanya the Evil Movie,Movie
53,The Disappearance of Haruhi Suzumiya,Movie
54,Assassination Classroom TV 2nd Season,TV
55,ERASED,TV
56,Rurouni Kenshin: Tsuiokuhen,OVA
57,Mushishi: Hihamukage,Special
58,Hajime no Ippo: Rising,TV
59,Mushishi Zoku Shou: Suzu no Shizuku,Movie
60,The Disastrous Life of Saiki K. 2nd Season,TV
61,Fate/Zero 2,TV
62,Bunny Drop,TV
63,Kizumonogatari Movie 2: Nekketsu,Movie
64,Kara no Kyoukai Movie 5: Mujun Rasen,Movie
65,Hotarubi no Mori e,Movie
66,Cowboy Bebop,TV
67,Natsume's Book of Friends Season 3,TV
68,Yona of the Dawn: Zeno Arc,OVA
69,Your lie in April,TV
70,Kuroko's Basketball 3,TV
71,Great Teacher Onizuka,TV
72,My Hero Academia,TV
73,Mushishi Zoku Shou: Odoro no Michi,Special
74,The Rising of the Shield Hero,TV
75,Natsume's Book of Friends Movie: Ephemeral Bond,Movie
76,Rascal Does Not Dream of a Dreaming Girl,Movie
77,Kamisama Kiss: Kako-hen,OVA
78,Natsume's Book of Friends Season 2,TV
79,Fate/stay night: Heaven's Feel II. lost butterfly,Movie
80,That Time I Got Reincarnated as a Slime,TV
81,Bakuman. 3,TV
82,Food Wars! The Second Plate,TV
83,Legend of the Galactic Heroes,OVA
84,Kuroko's Basketball 2,TV
85,Attack on Titan 3rd Season,TV
86,The Boy and the Beast,Movie
87,Food Wars! The Third Plate,TV
88,No Game No Life: Zero,Movie
89,Steins;Gate Movie: Load Region of Deja Vu,Movie
90,Quan Zhi Gao Shou (2018),OVA
91,Fruits Basket 1st Season,TV
92,JoJo's Bizarre Adventure: Diamond is Unbreakable,TV
93,Major Season 5,TV
94,Parasyte -the maxim-,TV
95,Food Wars! The Third Plate: Totsuki Train Arc,TV
96,Natsume's Book of Friends Season 6 Specials,Special
97,Death Note,TV
98,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Part 2),Movie
99,Violet Evergarden,TV
100,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,TV
101,Food Wars! Shokugeki no Souma,TV
102,The Seven Deadly Sins: Revival of The Commandments,TV
103,Mushishi,TV
104,Attack on Titan,TV
105,Hellsing Ultimate,OVA
106,Gintama: Shinyaku Benizakura-hen,Movie
107,Noragami Aragoto,TV
108,Ghost in the Shell: Stand Alone Complex 2nd Gig,TV
109,Mob Psycho 100,TV
110,Barakamon,TV
111,Haikyuu!!: Tokushuu! Harukou Volley ni Kaketa Seishun,OVA
112,Dororo (2019),TV
113,Black Butler: Book of the Atlantic,Movie
114,Ride Your Wave,Movie
115,Steins;Gate: Egoistic Poriomania,Special
116,Overlord III,TV
117,Natsume's Book of Friends Season 5 Specials,Special
118,No Game No Life,TV
119,Chihayafuru 2,TV
120,Attack on Titan 2nd Season,TV
121,Shouwa Genroku Rakugo Shinjuu,TV
122,Anohana: The Flower We Saw That Day,TV
123,The Disastrous Life of Saiki K. 3,Special
124,Tengen Toppa Gurren Lagann,TV
125,Rascal Does Not Dream of Bunny Girl Senpai,TV
126,Bakuman. 2,TV
127,Maquia - When the Promised Flower Blooms,Movie
128,Dragon Ball Super Movie: Broly,Movie
129,Spice and Wolf II,TV
130,One Piece Movie 10: Strong World,Movie
131,Evangelion: 2.0 You Can (Not) Advance,Movie
132,Hajime no Ippo: Champion Road,Special
133,Attack on Titan: No Regrets,OVA
134,Black Lagoon: The Second Barrage,TV
135,Douluo Dalu,Web
136,Dr. Stone,TV
137,Kamisama Kiss 2nd Season,TV
138,Promare,Movie
139,Magi: The Kingdom of Magic,TV
140,Fate/stay night: Unlimited Blade Works 2,TV
141,Given,TV
142,Gintama: Aizome Kaori-hen,OVA
143,Kuroko's Basketball,TV
144,Steins;Gate 0,TV
145,Kids on the Slope,TV
146,The Disastrous Life of Saiki K.,TV
147,Toradora!,TV
148,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA
149,My Hero Academia The Movie: Two Heroes,Movie
150,One Piece Movie 14: Stampede,Movie
151,The Girl Who Leapt Through Time,Movie
152,Fate/stay night: Unlimited Blade Works,TV
153,The Seven Deadly Sins,TV
154,Fairy Tail: Final Season,TV
155,Nausicaa of the Valley of the Wind,Movie
156,Gintama: Yorinuki Gintama-san on Theater 2D,Other
157,Baccano!,TV
158,Major Season 3,TV
159,Ouran High School Host Club,TV
160,Fullmetal Alchemist,TV
161,Fate/Zero,TV
162,Major Season 2,TV
163,Monster,TV
164,Bungou Stray Dogs 3rd Season,TV
165,Sword of the Stranger,Movie
166,Snow White with the Red Hair 2nd Season,TV
167,My Neighbor Totoro,Movie
168,Castlevania Season 2,Web
169,Kingdom 2,TV
170,Kaguya-sama: Love Is War,TV
171,Tengen Toppa Gurren Lagann: Lagann-hen,Movie
172,Grave of the Fireflies,Movie
173,Karakai Jouzu no Takagi-san 2,TV
174,Kizumonogatari Movie 1: Tekketsu,Movie
175,Summer Wars,Movie
176,Psycho-Pass,TV
177,Major Season 6,TV
178,Black Butler: Book of Murder,OVA
179,Doukyuusei,Movie
180,Black Butler: Book of Circus,TV
181,Samurai Champloo,TV
182,Silver Spoon 2nd Season,TV
183,Zoku Owarimonogatari,Movie
184,Nodame Cantabile,TV
